player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Deandre Ayton,aytonde01,2026,35,433.0,39.0,2026-01-15,,,CHO,"L, 117-135",*,,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,0.0,0.0,,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,12.0,11.0,-4.0
Deandre Ayton,aytonde01,2026,36,434.0,41.0,2026-01-18,,,TOR,"W, 110-93",*,,10.0,10.0,1.0,0.0,0.0,10.0,10.0,1.0,1.0,5.0,6.0,0.833,1.0,12.0,13.0,1.0,0.0,1.0,0.0,2.0,25.0,26.5,20.0
Deandre Ayton,aytonde01,2026,37,435.0,42.0,2026-01-20,,,DEN,"W, 115-107",*,,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,,1.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,3.7,-1.0
Deandre Ayton,aytonde01,2026,38,436.0,43.0,2026-01-22,,,LAC,"L, 104-112",*,,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,2.9,-14.0
Deandre Ayton,aytonde01,2026,39,437.0,44.0,2026-01-24,,,DAL,"W, 116-110",*,,4.0,16.0,0.25,0.0,0.0,4.0,16.0,0.25,0.25,1.0,2.0,0.5,5.0,6.0,11.0,0.0,0.0,1.0,1.0,4.0,9.0,2.4,-12.0
Deandre Ayton,aytonde01,2026,40,438.0,45.0,2026-01-26,,,CHI,"W, 129-118",*,,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,3.2,-15.0
Deandre Ayton,aytonde01,2026,41,439.0,46.0,2026-01-28,,,CLE,"L, 99-129",*,,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,3.0,10.0,10.7,-20.0
Deandre Ayton,aytonde01,2026,42,440.0,47.0,2026-01-30,,,WAS,"W, 142-111",*,,12.0,14.0,0.857,0.0,0.0,12.0,14.0,0.857,0.857,4.0,4.0,1.0,5.0,8.0,13.0,3.0,1.0,3.0,1.0,0.0,28.0,33.1,30.0
Deandre Ayton,aytonde01,2026,43,441.0,48.0,2026-02-01,,,NYK,"L, 100-112",*,,6.0,6.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,13.0,14.8,-12.0
Deandre Ayton,aytonde01,2026,44,442.0,49.0,2026-02-03,,,BRK,"W, 125-109",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,2.0,0.5,2.0,6.0,8.0,3.0,1.0,0.0,1.0,3.0,7.0,8.4,16.0
Deandre Ayton,aytonde01,2026,45,443.0,50.0,2026-02-05,,,PHI,"W, 119-115",*,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,2.0,10.0,11.3,-13.0
Deandre Ayton,aytonde01,2026,46,444.0,52.0,2026-02-09,,,OKC,"L, 110-119",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,0.0,3.0,0.0,3.0,7.0,10.0,0.0,0.0,0.0,1.0,3.0,6.0,4.5,-5.0
Deandre Ayton,aytonde01,2026,47,445.0,55.0,2026-02-20,,,LAC,"W, 125-122",*,,5.0,10.0,0.5,0.0,0.0,5.0,10.0,0.5,0.5,3.0,3.0,1.0,2.0,5.0,7.0,1.0,0.0,1.0,1.0,2.0,13.0,10.5,-2.0
