player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Keshad Johnson,johnske01,2026,28,398.0,28.0,2025-12-21,,,WAS,"W, 124-113",,4,6,0.667,2,2,1.0,2,4,0.5,0.833,2,2,1.0,6,3,9,0,0,0,1,2,12,12.7,3
Keshad Johnson,johnske01,2026,29,399.0,29.0,2025-12-23,,,OKC,"W, 130-110",,10,16,0.625,5,9,0.556,5,7,0.714,0.781,0,0,,0,1,1,1,0,0,1,3,25,16.6,9
Keshad Johnson,johnske01,2026,30,400.0,30.0,2025-12-25,,,OKC,"W, 117-102",,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,2,0.0,2,5,7,0,0,0,0,1,9,7.4,7
Keshad Johnson,johnske01,2026,31,401.0,31.0,2025-12-27,,,UTA,"L, 114-127",,10,15,0.667,5,7,0.714,5,8,0.625,0.833,2,3,0.667,4,6,10,1,0,0,0,2,27,24.6,-6
Keshad Johnson,johnske01,2026,32,402.0,32.0,2025-12-29,,,CLE,"L, 101-113",,2,3,0.667,0,0,,2,3,0.667,0.667,4,4,1.0,2,1,3,0,0,0,2,1,8,6.0,-6
Keshad Johnson,johnske01,2026,33,403.0,33.0,2025-12-31,,,NYK,"W, 134-132",,5,12,0.417,0,2,0.0,5,10,0.5,0.417,9,9,1.0,3,5,8,0,2,0,1,1,19,16.8,-10
Keshad Johnson,johnske01,2026,34,404.0,34.0,2026-01-02,,,IND,"W, 123-113",,6,9,0.667,3,3,1.0,3,6,0.5,0.833,1,2,0.5,1,5,6,1,1,0,2,2,16,12.8,19
Keshad Johnson,johnske01,2026,35,405.0,35.0,2026-01-03,,,POR,"L, 110-115",,1,6,0.167,0,0,,1,6,0.167,0.167,3,4,0.75,1,7,8,1,2,0,1,0,5,5.3,-2
Keshad Johnson,johnske01,2026,36,406.0,36.0,2026-01-06,,,MEM,"L, 105-106",,5,13,0.385,2,8,0.25,3,5,0.6,0.462,1,1,1.0,1,4,5,0,1,0,0,3,13,7.6,10
Keshad Johnson,johnske01,2026,37,407.0,37.0,2026-01-07,,,LAL,"W, 107-91",,11,13,0.846,2,3,0.667,9,10,0.9,0.923,3,3,1.0,1,5,6,0,0,0,1,1,27,23.1,14
Keshad Johnson,johnske01,2026,38,408.0,38.0,2026-01-10,,,BOS,"W, 100-95",,6,13,0.462,2,7,0.286,4,6,0.667,0.538,4,5,0.8,3,7,10,1,1,0,2,2,18,14.0,4
Keshad Johnson,johnske01,2026,39,409.0,39.0,2026-01-11,,,MIN,"L, 103-104",,5,8,0.625,3,4,0.75,2,4,0.5,0.813,2,2,1.0,0,2,2,0,0,0,1,3,15,9.8,-4
Keshad Johnson,johnske01,2026,40,410.0,40.0,2026-01-13,,,OKC,"L, 98-119",,4,11,0.364,1,5,0.2,3,6,0.5,0.409,0,0,,1,2,3,0,0,0,1,4,9,1.6,-16
Keshad Johnson,johnske01,2026,41,411.0,41.0,2026-01-15,,,MIL,"W, 119-101",,1,3,0.333,1,3,0.333,0,0,,0.5,4,4,1.0,1,7,8,2,3,0,2,3,7,9.3,17
Keshad Johnson,johnske01,2026,42,412.0,42.0,2026-01-17,,,MIN,"W, 126-123",,8,14,0.571,3,5,0.6,5,9,0.556,0.679,1,2,0.5,1,0,1,2,1,0,1,1,20,14.7,7
Keshad Johnson,johnske01,2026,43,413.0,43.0,2026-01-19,,,UTA,"W, 123-110",,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,3,3,2,0,2,1,3,2,1.1,-1
Keshad Johnson,johnske01,2026,44,414.0,44.0,2026-01-20,,,HOU,"L, 106-111",,5,9,0.556,0,3,0.0,5,6,0.833,0.556,2,2,1.0,2,4,6,0,2,0,0,1,12,11.9,-2
Keshad Johnson,johnske01,2026,45,415.0,45.0,2026-01-22,,,UTA,"W, 126-109",,9,19,0.474,1,4,0.25,8,15,0.533,0.5,2,2,1.0,1,0,1,5,1,1,0,2,21,16.4,9
Keshad Johnson,johnske01,2026,46,416.0,46.0,2026-01-25,,,NOP,"L, 95-104",,6,12,0.5,1,5,0.2,5,7,0.714,0.542,2,4,0.5,0,2,2,1,0,0,0,5,15,7.5,-14
Keshad Johnson,johnske01,2026,47,417.0,47.0,2026-01-28,,,HOU,"W, 111-99",,8,15,0.533,1,4,0.25,7,11,0.636,0.567,0,0,,1,6,7,5,0,0,1,4,17,13.1,18
Keshad Johnson,johnske01,2026,48,418.0,48.0,2026-01-31,,,CHO,"L, 106-111",,1,5,0.2,0,3,0.0,1,2,0.5,0.2,4,4,1.0,1,1,2,1,1,0,0,0,6,5.6,-3
Keshad Johnson,johnske01,2026,49,419.0,49.0,2026-02-01,,,ORL,"W, 112-103",,5,9,0.556,1,2,0.5,4,7,0.571,0.611,3,4,0.75,3,7,10,1,0,0,3,3,14,10.0,10
Keshad Johnson,johnske01,2026,50,420.0,50.0,2026-02-04,,,OKC,"W, 116-106",,10,17,0.588,4,8,0.5,6,9,0.667,0.706,1,2,0.5,1,5,6,2,0,1,0,2,25,20.2,8
Keshad Johnson,johnske01,2026,51,421.0,51.0,2026-02-05,,,DAL,"W, 135-123",,5,9,0.556,0,0,,5,9,0.556,0.556,2,2,1.0,2,4,6,4,1,1,1,2,12,13.0,-6
Keshad Johnson,johnske01,2026,52,422.0,52.0,2026-02-07,,,DAL,"W, 138-125",,3,5,0.6,0,2,0.0,3,3,1.0,0.6,2,2,1.0,0,4,4,0,0,0,4,2,8,2.1,-13
Keshad Johnson,johnske01,2026,53,423.0,53.0,2026-02-10,,,LAL,"W, 136-108",,3,10,0.3,0,3,0.0,3,7,0.429,0.3,0,0,,2,2,4,2,0,0,1,3,6,1.4,4
Keshad Johnson,johnske01,2026,54,424.0,54.0,2026-02-11,,,GSW,"W, 126-113",,8,13,0.615,2,6,0.333,6,7,0.857,0.692,3,3,1.0,2,4,6,2,1,0,1,2,21,18.3,22
Keshad Johnson,johnske01,2026,55,425.0,55.0,2026-02-19,,,PHO,"W, 121-94",,2,6,0.333,0,2,0.0,2,4,0.5,0.333,2,2,1.0,0,2,2,1,0,0,1,1,6,2.5,20
Keshad Johnson,johnske01,2026,56,426.0,56.0,2026-02-21,,,SAC,"W, 139-122",,6,12,0.5,3,4,0.75,3,8,0.375,0.625,3,4,0.75,0,1,1,0,0,0,1,1,18,10.5,13
Keshad Johnson,johnske01,2026,57,427.0,57.0,2026-02-23,,,DET,"W, 114-103",,4,11,0.364,1,4,0.25,3,7,0.429,0.409,0,0,,3,1,4,0,1,0,0,3,9,5.1,4
Keshad Johnson,johnske01,2026,58,428.0,58.0,2026-02-25,,,TOR,"W, 110-107",,1,6,0.167,0,1,0.0,1,5,0.2,0.167,0,0,,0,1,1,3,0,0,0,0,2,0.6,-7
Keshad Johnson,johnske01,2026,59,429.0,59.0,2026-02-26,,,BRK,"W, 126-110",,6,7,0.857,1,1,1.0,5,6,0.833,0.929,0,1,0.0,2,2,4,0,1,0,0,3,13,11.9,10
Keshad Johnson,johnske01,2026,60,430.0,60.0,2026-03-01,,,NYK,"L, 89-114",,1,4,0.25,0,2,0.0,1,2,0.5,0.25,1,2,0.5,1,2,3,0,0,0,1,3,3,-0.7,-9
Keshad Johnson,johnske01,2026,61,431.0,61.0,2026-03-03,,,PHI,"W, 131-91",,6,11,0.545,0,3,0.0,6,8,0.75,0.545,0,0,,1,8,9,0,2,0,3,1,12,8.4,3
Keshad Johnson,johnske01,2026,62,432.0,62.0,2026-03-05,,,DET,"W, 121-106",,2,6,0.333,0,2,0.0,2,4,0.5,0.333,4,4,1.0,0,4,4,1,0,0,0,2,8,5.7,1
Keshad Johnson,johnske01,2026,63,433.0,63.0,2026-03-06,,,LAC,"W, 116-112",,4,9,0.444,2,3,0.667,2,6,0.333,0.556,0,0,,1,5,6,0,0,0,0,2,10,6.7,-7
Keshad Johnson,johnske01,2026,64,434.0,64.0,2026-03-08,,,HOU,"W, 145-120",,8,13,0.615,4,7,0.571,4,6,0.667,0.769,0,0,,1,0,1,2,0,0,0,4,20,14.6,2
Keshad Johnson,johnske01,2026,65,435.0,65.0,2026-03-10,,,BOS,"W, 125-116",,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,1,5,6,0,0,0,0,3,8,5.3,6
Keshad Johnson,johnske01,2026,66,436.0,66.0,2026-03-12,,,DEN,"L, 131-136",,2,12,0.167,1,5,0.2,1,7,0.143,0.208,0,0,,2,5,7,3,0,1,0,3,5,1.9,-2
Keshad Johnson,johnske01,2026,67,437.0,67.0,2026-03-14,,,CHO,"W, 115-102",,6,9,0.667,1,2,0.5,5,7,0.714,0.722,0,0,,1,4,5,0,0,0,0,2,13,10.2,11
Keshad Johnson,johnske01,2026,68,438.0,68.0,2026-03-16,,,LAC,"W, 119-115",,4,10,0.4,0,1,0.0,4,9,0.444,0.4,0,0,,1,4,5,0,0,0,2,1,8,2.1,4
Keshad Johnson,johnske01,2026,69,439.0,69.0,2026-03-17,,,SAC,"W, 132-104",,8,12,0.667,2,4,0.5,6,8,0.75,0.75,0,1,0.0,0,1,1,1,0,0,0,0,18,13.4,11
Keshad Johnson,johnske01,2026,70,440.0,70.0,2026-03-19,,,PHO,"W, 101-100",,3,10,0.3,0,3,0.0,3,7,0.429,0.3,0,0,,2,2,4,1,0,0,0,2,6,2.1,-5
Keshad Johnson,johnske01,2026,71,441.0,71.0,2026-03-21,,,IND,"W, 134-119",,10,12,0.833,2,3,0.667,8,9,0.889,0.917,2,2,1.0,1,3,4,4,0,0,0,2,24,23.2,11
Keshad Johnson,johnske01,2026,72,442.0,72.0,2026-03-23,,,MIA,"W, 136-111",,7,14,0.5,3,6,0.5,4,8,0.5,0.607,4,4,1.0,3,3,6,1,0,0,1,2,21,15.9,12
Keshad Johnson,johnske01,2026,73,443.0,73.0,2026-03-25,,,MEM,"W, 123-98",,7,16,0.438,1,6,0.167,6,10,0.6,0.469,0,0,,2,5,7,3,0,0,1,3,15,9.4,9
Keshad Johnson,johnske01,2026,74,444.0,74.0,2026-03-28,,,MIL,"W, 127-95",,6,8,0.75,2,2,1.0,4,6,0.667,0.875,2,2,1.0,0,0,0,5,1,0,0,0,16,17.3,26
Keshad Johnson,johnske01,2026,75,445.0,75.0,2026-03-30,,,CHI,"W, 129-114",,5,11,0.455,2,5,0.4,3,6,0.5,0.545,3,4,0.75,1,1,2,1,1,0,1,0,15,10.6,11
Keshad Johnson,johnske01,2026,76,446.0,76.0,2026-04-01,,,GSW,"W, 127-113",,3,11,0.273,2,6,0.333,1,5,0.2,0.364,3,4,0.75,2,1,3,1,0,0,1,2,11,4.7,7
Keshad Johnson,johnske01,2026,77,447.0,77.0,2026-04-02,,,LAC,"W, 118-99",,6,11,0.545,1,2,0.5,5,9,0.556,0.591,0,0,,2,4,6,1,0,0,1,3,13,8.8,18
Keshad Johnson,johnske01,2026,78,448.0,78.0,2026-04-04,,,DEN,"L, 134-136 (OT)",,3,10,0.3,0,6,0.0,3,4,0.75,0.3,4,4,1.0,1,1,2,0,0,0,0,2,10,4.4,-3
Keshad Johnson,johnske01,2026,79,449.0,79.0,2026-04-06,,,PHI,"W, 115-102",,4,14,0.286,1,5,0.2,3,9,0.333,0.321,4,6,0.667,4,5,9,1,2,1,1,1,13,10.3,5
Keshad Johnson,johnske01,2026,80,450.0,80.0,2026-04-08,,,POR,"W, 112-101",,8,15,0.533,0,3,0.0,8,12,0.667,0.533,4,5,0.8,4,4,8,1,2,1,2,1,20,17.3,13
Keshad Johnson,johnske01,2026,81,451.0,81.0,2026-04-10,,,DAL,"W, 139-120",,6,13,0.462,1,5,0.2,5,8,0.625,0.5,4,4,1.0,2,4,6,2,0,0,0,1,17,13.9,8
Keshad Johnson,johnske01,2026,82,452.0,82.0,2026-04-12,,,DEN,"L, 118-128",,6,12,0.5,2,5,0.4,4,7,0.571,0.583,4,6,0.667,2,4,6,1,0,0,1,4,18,11.9,10
