player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Wendell Moore Jr.,moorewe01,2024,11,40.0,44.0,2024-01-24,,,WAS,"W, 118-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0
Wendell Moore Jr.,moorewe01,2024,12,41.0,48.0,2024-01-31,,,DAL,"W, 121-87",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.9,8.0
Wendell Moore Jr.,moorewe01,2024,13,42.0,50.0,2024-02-04,,,HOU,"W, 111-90",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.7,-7.0
Wendell Moore Jr.,moorewe01,2024,14,43.0,52.0,2024-02-08,,,MIL,"W, 129-105",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,3.0
Wendell Moore Jr.,moorewe01,2024,15,44.0,65.0,2024-03-10,,,LAL,"L, 109-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Wendell Moore Jr.,moorewe01,2024,16,45.0,66.0,2024-03-12,,,LAC,"W, 118-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Wendell Moore Jr.,moorewe01,2024,17,46.0,67.0,2024-03-16,,,UTA,"W, 119-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wendell Moore Jr.,moorewe01,2024,18,47.0,72.0,2024-03-27,,,DET,"W, 106-91",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Wendell Moore Jr.,moorewe01,2024,19,48.0,73.0,2024-03-29,,,DEN,"W, 111-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
Wendell Moore Jr.,moorewe01,2024,20,49.0,76.0,2024-04-03,,,TOR,"W, 133-85",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.3,7.0
Wendell Moore Jr.,moorewe01,2024,21,50.0,77.0,2024-04-05,,,PHO,"L, 87-97",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,12.0
Wendell Moore Jr.,moorewe01,2024,22,51.0,78.0,2024-04-07,,,LAL,"W, 127-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
Wendell Moore Jr.,moorewe01,2024,23,52.0,79.0,2024-04-09,,,WAS,"W, 130-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Wendell Moore Jr.,moorewe01,2024,24,53.0,80.0,2024-04-10,,,DEN,"L, 107-116",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Wendell Moore Jr.,moorewe01,2024,25,54.0,82.0,2024-04-14,,,PHO,"L, 106-125",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.6,5.0
