player_id,source_file_id,durability,durability_std,ROLE_mean,career_games,trajectory_stage,trajectory_factor,ROLE_mean_before_trajectory,ROLE_std,PTS_mean,PTS_std,REB_mean,REB_std,AST_mean,AST_std,STL_mean,STL_std,BLK_mean,BLK_std,TOV_mean,TOV_std,FG3M_mean,FG3M_std,PTS_per_role,REB_per_role,AST_per_role,STL_per_role,BLK_per_role,TOV_per_role,FG3M_per_role,FGA_per_role,FTA_per_role,FGA_mean,FGA_std,FGP_mean,FGP_std,FTA_mean,FTA_std,FTP_mean,FTP_std,source,train_seasons
Tyler Burton,burtoty01,20,8.0,18.424914666666666,12.0,young_growth,1.0952,16.823333333333334,5.896730187916936,11.466380000000001,7.984391734104506,4.444333333333334,2.5401175110016014,1.06664,0.9807232952358079,0.9777533333333334,0.9119056802635729,0.3555466666666667,0.5662208585049305,0.9777533333333334,1.035387132985298,1.9555066666666667,1.5376832238694995,0.6389934614622548,0.24767188428769565,0.05944125222904696,0.054487814543293045,0.019813750743015654,0.054487814543293045,0.10897562908658609,0.5547850208044383,0.13374281751535566,9.955306666666665,3.712958470823583,0.375,0.191795465048525,2.39994,2.4579301158791016,0.8518518518518519,0.2866420957184473,nba_history,"2023,2024,2025,2026"
Dylan Cardwell,cardwdy01,47,8.0,16.296024,44.0,young_growth,1.0824,15.055454545454545,7.171629432619624,5.721087272727273,4.032200596330573,7.980676363636363,3.7239865883131986,1.4903672727272728,1.4946539687358835,0.7211454545454545,0.8863809831879821,1.6105581818181816,1.5386678259608,0.9374890909090909,1.0871990847560034,0.04807636363636364,0.2423131131827083,0.3592778213875974,0.5011774651289174,0.09359338204214722,0.04528712034297446,0.10114123543264296,0.0588732564458668,0.0030191413561982973,0.2702131513797476,0.07698810458305659,4.302834545454545,3.11155755746279,0.5865921787709497,0.2967496176602943,1.2259472727272729,1.887903450853962,0.5098039215686274,0.5643657106517335,nba_history,"2023,2024,2025,2026"
Moussa Cisse,cissemo01,42,8.0,12.15090189473684,38.0,young_growth,1.0848,11.201052631578946,10.682605132427328,4.739242105263158,5.092227642329895,6.021625263157894,5.2808384393999495,0.2509010526315789,0.5630152137089278,0.5296799999999999,0.8766297563565417,1.2545052631578946,1.4362316595176607,0.8363368421052632,1.0060308895766377,0.0,0.0,0.39939855276759706,0.5074711023400057,0.021144629264166902,0.044638661779907905,0.10572314632083452,0.07048209754722301,0.0,0.27018137393102154,0.19030166337750212,3.2059578947368417,3.323209525518646,0.5739130434782609,0.3452258227462325,2.2581094736842102,2.7549583516277365,0.4691358024691358,0.41512465132285414,nba_history,"2023,2024,2025,2026"
Walter Clayton,claytwa01,68,8.0,17.169901101449277,69.0,young_growth,1.0724,16.01072463768116,8.059278638557736,8.192258550724638,5.35264274108832,2.1165872463768114,1.6792125839097276,4.248401739130436,3.0897720266179163,0.6699988405797102,1.0050851100436082,0.2893176811594203,0.5878466853612394,1.7663605797101454,1.4558873044082963,1.1420434782608695,1.2741779356764527,0.4869924145047704,0.1258214602530912,0.2525481108677155,0.039828375907453334,0.01719861686912758,0.10500208193783153,0.06788927711497728,0.417292756666727,0.10952803374549668,7.0197605797101446,3.4301717786974675,0.3839479392624729,0.22945300026777946,1.8424968115942029,2.277958107001729,0.9008264462809916,0.2752486148916689,nba_history,"2023,2024,2025,2026"
Nique Clifford,cliffni01,74,8.0,17.957168,75.0,young_growth,1.07,16.7824,11.14706623500406,9.0214,7.822559199675795,3.9442399999999993,2.719031524722071,2.503613333333333,2.383141427415306,0.9510933333333332,1.3257505098676803,0.33568,0.5721958651616665,1.622453333333333,1.4680188279716573,1.0769733333333333,1.2957543282888462,0.5124416054914672,0.2240442368195252,0.14221247656274827,0.05402485143165856,0.019067594622938316,0.0921600406775352,0.06117519941526043,0.4735119331363015,0.07706486160104235,8.336053333333332,5.74655933095136,0.41778523489932884,0.2135246024452125,1.3567066666666663,1.9717788191660117,0.7216494845360825,0.480979095484044,nba_history,"2023,2024,2025,2026"
Javonte Cooke,cookeja01,26,8.0,4.563932210526316,19.0,young_growth,1.0924,4.177894736842105,4.5244501614182795,1.288823157894737,1.8613960679117776,1.06468,1.2122064363978786,0.3922505263157895,0.7865834032652845,0.33621473684210523,0.6697516341614913,0.0,0.0,0.5043221052631579,0.8011961087513859,0.16810736842105262,0.43082947332757915,0.28974552784076596,0.23935500125976317,0.08818342151675486,0.07558578987150416,0.0,0.11337868480725624,0.03779289493575208,0.5165028974552784,0.025195263290501386,2.297467368421053,2.243831700853338,0.21951219512195122,0.34134828429827035,0.11207157894736842,0.5276561879022921,1.0,0.0,nba_history,"2023,2024,2025,2026"
Cedric Coward,cowarce01,62,8.0,22.770654967741937,62.0,young_growth,1.0752,21.178064516129034,6.865967907299882,14.312508387096774,6.196298269305625,6.180015483870968,3.991784264986202,2.9032490322580644,1.8588208179976544,0.6791225806451612,1.0221799891387346,0.45840774193548384,0.7098540565475685,1.7826967741935484,1.5385064990074306,1.57896,1.6363130787851323,0.6420215682690549,0.2772192774020593,0.13023213306525314,0.030463656857369154,0.020562968378724178,0.07996709925059403,0.07082800219338328,0.49351124108938027,0.126424175958082,11.001785806451611,3.5563076592313196,0.470679012345679,0.18810502359592127,2.818358709677419,2.3445707843604944,0.8433734939759038,0.27061663096060795,nba_history,"2023,2024,2025,2026"
LJ Cryer,cryerlj01,25,8.0,10.767722666666664,18.0,young_growth,1.0928,9.853333333333332,6.232056482414133,8.756337777777777,6.512022566645229,1.6566044444444443,1.5887060546572405,1.0649599999999997,1.183340237483311,0.17749333333333328,0.44100486858723803,0.0,0.0,0.8283022222222222,1.009934314825196,2.189084444444444,1.7405886052742208,0.8344609833107804,0.15787099684258007,0.10148849797023005,0.016914749661705007,0.0,0.07893549842129004,0.2086152458276951,0.6596752368064953,0.10712674785746505,6.922239999999999,4.065863991822648,0.4017094017094017,0.23291570547770094,1.1241244444444443,2.349268068466505,0.8947368421052632,0.3618167553301759,nba_history,"2023,2024,2025,2026"
Egor Dёmin,demineg01,54,8.0,19.44842923076923,52.0,young_growth,1.0792,18.021153846153844,7.271665942180006,10.879150769230769,7.314261158148016,3.3489923076923076,2.6725637684685695,3.511367692307692,1.9420398206932759,0.8524707692307693,0.8532720271624158,0.3450476923076923,0.6725347417671901,1.7455353846153845,1.4017132912366788,2.5168184615384614,1.974255496690886,0.5719773770141928,0.17607512538683173,0.18461210116316296,0.04481912282573899,0.018141073524703875,0.09177248959556078,0.13232312453313416,0.4791377654465906,0.06936292818269128,9.113318461538462,4.230146935928763,0.3986636971046771,0.20273736432461195,1.3193,1.702301642586572,0.8307692307692308,0.4080544305138354,nba_history,"2023,2024,2025,2026"
Mohamed Diawara,diawamo01,68,8.0,6.2099731014492745,69.0,young_growth,1.0724,5.7907246376811585,6.477060221666115,3.745902608695652,4.69821618213952,1.43136115942029,1.922002377015934,0.8070440579710144,1.3251433514759015,0.25886318840579714,0.536715684035967,0.09136347826086956,0.38136750840965494,0.4568173913043478,0.8477912478906585,0.7309078260869565,1.2206254423811735,0.6156772449694665,0.23525878466312947,0.13264591050155172,0.0425468014816298,0.015016518169986988,0.07508259084993493,0.1201321453598959,0.533086395034538,0.06006607267994795,3.2434034782608694,3.5921687697807614,0.4225352112676056,0.3428496661844799,0.36545391304347824,1.021496883183175,0.75,0.5412658773652741,nba_history,"2023,2024,2025,2026"
