team,player_id,win_shares,strategy,punts,risk
8,camarto01,1.728,big,FT,0.1
8,washipj01,1.572,big,FT,0.1
8,wembavi01,1.544,big,FT,0.1
8,mobleev01,1.452,big,FT,0.1
8,claxtni01,1.32,big,FT,0.1
8,lopezbr01,1.172,big,FT,0.1
8,gordoaa01,1.172,big,FT,0.1
8,nurkiju01,1.004,big,FT,0.1
8,wareke01,0.628,big,FT,0.1
9,murphtr02,1.392,baseline,PTS,0.1
9,harrito02,1.36,baseline,PTS,0.1
9,anunoog01,1.268,baseline,PTS,0.1
9,carusal01,1.112,baseline,PTS,0.1
9,bridgmi01,1.1,baseline,PTS,0.1
9,nesmiaa01,1.096,baseline,PTS,0.1
9,georgpa01,1.092,baseline,PTS,0.1
9,wiggiaa01,1.06,baseline,PTS,0.1
9,joneshe01,1.028,baseline,PTS,0.1
9,banede01,0.988,baseline,PTS,0.1
9,hachiru01,0.904,baseline,PTS,0.1
9,olynyke01,0.74,baseline,PTS,0.1
9,colliza01,0.448,baseline,PTS,0.1
10,derozde01,1.528,baseline,,0.28
10,murrake02,1.508,baseline,,0.28
10,wallaca01,1.34,baseline,,0.28
10,hieldbu01,1.332,baseline,,0.28
10,willija06,1.308,baseline,,0.28
10,barneha02,1.276,baseline,,0.28
10,wagnefr01,1.252,baseline,,0.28
10,portemi01,1.232,baseline,,0.28
10,dosunay01,0.984,baseline,,0.28
10,avdijde01,0.976,baseline,,0.28
10,jaqueja01,0.912,baseline,,0.28
10,marshna01,0.9,baseline,,0.28
10,mannte01,0.856,baseline,,0.28
