team,player_id,strategy,punts,risk
9,Cameron Johnson,baseline,PTS,0.1
9,Al Horford,baseline,PTS,0.1
9,Aaron Wiggins,baseline,PTS,0.1
9,Obi Toppin,baseline,PTS,0.1
10,Kevin Durant,baseline,,0.28
10,Kawhi Leonard,baseline,,0.28
10,OG Anunoby,baseline,,0.28
10,Tobias Harris,baseline,,0.28
10,Matas Buzelis,baseline,,0.28
10,Myles Turner,baseline,,0.28
10,Keshad Johnson,baseline,,0.28
10,Jimmy Butler,baseline,,0.28
10,Keldon Johnson,baseline,,0.28
10,Devin Vassell,baseline,,0.28
10,Naji Marshall,baseline,,0.28
10,Kelly Oubre Jr.,baseline,,0.28
10,Isaiah Joe,baseline,,0.28
