file,player,season,status
data\gamelogs\2023\mitchdo01.csv,Donovan Mitchell,2023,ok
data\gamelogs\2023\mobleev01.csv,Evan Mobley,2023,ok
data\gamelogs\2023\mobleis01.csv,Isaiah Mobley,2023,ok
data\gamelogs\2023\monkma01.csv,Malik Monk,2023,ok
data\gamelogs\2023\moodymo01.csv,Moses Moody,2023,ok
data\gamelogs\2023\moorewe01.csv,Wendell Moore Jr.,2023,ok
data\gamelogs\2023\moranja01.csv,Ja Morant,2023,ok
data\gamelogs\2023\morrima02.csv,Markieff Morris,2023,ok
data\gamelogs\2023\morrimo01.csv,Monte Morris,2023,ok
data\gamelogs\2023\murphtr01.csv,Trey Murphy III,2023,ok
data\gamelogs\2023\murrade01.csv,Dejounte Murray,2023,ok
data\gamelogs\2023\murraja01.csv,Jamal Murray,2023,ok
data\gamelogs\2023\murrake01.csv,Keegan Murray,2023,ok
data\gamelogs\2023\mykhasv01.csv,Svi Mykhailiuk,2023,ok
data\gamelogs\2023\nancela01.csv,Larry Nance Jr.,2023,ok
data\gamelogs\2023\nembhan01.csv,Andrew Nembhard,2023,ok
data\gamelogs\2023\nesmiaa01.csv,Aaron Nesmith,2023,ok
data\gamelogs\2023\niangge01.csv,Georges Niang,2023,ok
data\gamelogs\2023\nixda01.csv,Daishen Nix,2023,ok
data\gamelogs\2023\nnajize01.csv,Zeke Nnaji,2023,ok
data\gamelogs\2023\nowelja01.csv,Jaylen Nowell,2023,ok
data\gamelogs\2023\nurkiju01.csv,Jusuf Nurkić,2023,ok
data\gamelogs\2023\okekech01.csv,Chuma Okeke,2023,ok
data\gamelogs\2023\okogijo01.csv,Josh Okogie,2023,ok
data\gamelogs\2023\okongon01.csv,Onyeka Okongwu,2023,ok
data\gamelogs\2023\okorois01.csv,Isaac Okoro,2023,ok
data\gamelogs\2023\olynyke01.csv,Kelly Olynyk,2023,ok
data\gamelogs\2023\onealro01.csv,Royce O'Neale,2023,ok
data\gamelogs\2023\oubreke01.csv,Kelly Oubre Jr.,2023,ok
data\gamelogs\2023\paulch01.csv,Chris Paul,2023,ok
data\gamelogs\2023\payneca01.csv,Cameron Payne,2023,ok
data\gamelogs\2023\paytoga01.csv,Gary Payton II,2023,ok
data\gamelogs\2023\pippesc01.csv,Scotty Pippen Jr.,2023,ok
