player,season,old_url,new_url
Jalen Williams,2026,https://www.basketball-reference.com/players/w/willija01/gamelog/2026,https://www.basketball-reference.com/players/w/willija06/gamelog/2026
Jaylin Williams,2025,https://www.basketball-reference.com/players/w/willija01/gamelog/2025,https://www.basketball-reference.com/players/w/willija07/gamelog/2025
Trey Murphy III,2024,https://www.basketball-reference.com/players/m/murphtr01/gamelog/2024,https://www.basketball-reference.com/players/m/murphtr02/gamelog/2024
Kenrich Williams,2024,https://www.basketball-reference.com/players/w/willike01/gamelog/2024,https://www.basketball-reference.com/players/w/willike04/gamelog/2024
Harrison Barnes,2025,https://www.basketball-reference.com/players/b/barneha01/gamelog/2025,https://www.basketball-reference.com/players/b/barneha02/gamelog/2025
Ron Harper Jr.,2026,https://www.basketball-reference.com/players/h/harpero01/gamelog/2026,https://www.basketball-reference.com/players/h/harpero02/gamelog/2026
Tidjane Salaün,2026,https://www.basketball-reference.com/players/s/salanti01/gamelog/2026,https://www.basketball-reference.com/players/s/salauti01/gamelog/2026
Alondes Williams,2024,https://www.basketball-reference.com/players/w/willial01/gamelog/2024,https://www.basketball-reference.com/players/w/willial06/gamelog/2024
Mark Williams,2025,https://www.basketball-reference.com/players/w/willima01/gamelog/2025,https://www.basketball-reference.com/players/w/willima07/gamelog/2025
Josh Green,2025,https://www.basketball-reference.com/players/g/greenjo01/gamelog/2025,https://www.basketball-reference.com/players/g/greenjo02/gamelog/2025
Cody Williams,2025,https://www.basketball-reference.com/players/w/willico01/gamelog/2025,https://www.basketball-reference.com/players/w/willico04/gamelog/2025
Keegan Murray,2023,https://www.basketball-reference.com/players/m/murrake01/gamelog/2023,https://www.basketball-reference.com/players/m/murrake02/gamelog/2023
Vít Krejčí,2026,https://www.basketball-reference.com/players/k/krejvt01/gamelog/2026,https://www.basketball-reference.com/players/k/krejcvi01/gamelog/2026
Cam Christie,2026,https://www.basketball-reference.com/players/c/chrisca01/gamelog/2026,https://www.basketball-reference.com/players/c/chrisca02/gamelog/2026
Javonte Green,2025,https://www.basketball-reference.com/players/g/greenja01/gamelog/2025,https://www.basketball-reference.com/players/g/greenja02/gamelog/2025
Caleb Martin,2024,https://www.basketball-reference.com/players/m/martica01/gamelog/2024,https://www.basketball-reference.com/players/m/martica02/gamelog/2024
Jaylen Brown,2023,https://www.basketball-reference.com/players/b/brownja01/gamelog/2023,https://www.basketball-reference.com/players/b/brownja02/gamelog/2023
Vít Krejčí,2024,https://www.basketball-reference.com/players/k/krejvt01/gamelog/2024,https://www.basketball-reference.com/players/k/krejcvi01/gamelog/2024
Scotty Pippen Jr.,2023,https://www.basketball-reference.com/players/p/pippesc01/gamelog/2023,https://www.basketball-reference.com/players/p/pippesc02/gamelog/2023
Tobias Harris,2026,https://www.basketball-reference.com/players/h/harrito01/gamelog/2026,https://www.basketball-reference.com/players/h/harrito02/gamelog/2026
Kenrich Williams,2026,https://www.basketball-reference.com/players/w/willike01/gamelog/2026,https://www.basketball-reference.com/players/w/willike04/gamelog/2026
Max Christie,2023,https://www.basketball-reference.com/players/c/chrisma01/gamelog/2023,https://www.basketball-reference.com/players/c/chrisma02/gamelog/2023
Jahmir Young,2026,https://www.basketball-reference.com/players/y/youngja01/gamelog/2026,https://www.basketball-reference.com/players/y/youngja05/gamelog/2026
Dario Šarić,2023,https://www.basketball-reference.com/players/a/arida01/gamelog/2023,https://www.basketball-reference.com/players/s/saricda01/gamelog/2023
Maxi Kleber,2026,https://www.basketball-reference.com/players/k/klebema01/gamelog/2026,https://www.basketball-reference.com/players/k/klebima01/gamelog/2026
Cam Christie,2025,https://www.basketball-reference.com/players/c/chrisca01/gamelog/2025,https://www.basketball-reference.com/players/c/chrisca02/gamelog/2025
Trey Murphy III,2023,https://www.basketball-reference.com/players/m/murphtr01/gamelog/2023,https://www.basketball-reference.com/players/m/murphtr02/gamelog/2023
Elijah Harkless,2025,https://www.basketball-reference.com/players/h/harklel01/gamelog/2025,https://www.basketball-reference.com/players/h/harklej01/gamelog/2025
Jordan Miller,2026,https://www.basketball-reference.com/players/m/millejo01/gamelog/2026,https://www.basketball-reference.com/players/m/millejo02/gamelog/2026
Keshad Johnson,2025,https://www.basketball-reference.com/players/j/johnske01/gamelog/2025,https://www.basketball-reference.com/players/j/johnske04/gamelog/2025
N'Faly Dante,2025,https://www.basketball-reference.com/players/d/dantenf01/gamelog/2025,https://www.basketball-reference.com/players/n/nfalyda01/gamelog/2025
Jaylen Clark,2026,https://www.basketball-reference.com/players/c/clarkja01/gamelog/2026,https://www.basketball-reference.com/players/c/clarkja02/gamelog/2026
Jaylin Williams,2026,https://www.basketball-reference.com/players/w/willija01/gamelog/2026,https://www.basketball-reference.com/players/w/willija07/gamelog/2026
Jaylen Brown,2024,https://www.basketball-reference.com/players/b/brownja01/gamelog/2024,https://www.basketball-reference.com/players/b/brownja02/gamelog/2024
Tobias Harris,2024,https://www.basketball-reference.com/players/h/harrito01/gamelog/2024,https://www.basketball-reference.com/players/h/harrito02/gamelog/2024
